lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
KWB/,Kub,,,,,,,,,,,,,,,,
KWB</,pelopor,,,,,,,,,,,,,,,,
KWC/,"Etiopia, orang Etiopia",,,,,,,,,,,,,,,,
KWC=/,"Etiopia, orang Etiopia",,,,,,,,,,,,,,,,
KWCJ/,Kusyi,,,,,,,,,,,,,,,,
KWCN/,Kusan,,,,,,,,,,,,,,,,
KWCN_RC<TJM/,Kusan-Risyataim,,,,,,,,,,,,,,,,
KWCRH/,"sejahtera, makmur, menjadi makmur, kemakmuran",,,,,,,,,,,,,,,,
KWH/,terbakar,,,,,,,,,,,,,,,,
KWH[,terbakar,,,,,,,,,,,,,,,,
KWJH/,luka bakar,,,,,,,,,,,,,,,,
KWKB/,bintang,,,,,,,,,,,,,,,,
KWL[,"mampu menanggung, teguh, ketahanan",memahami,,menampung,ditampung,,menampung,,,,,,,,,,
KWMZ/,gelang,,,,,,,,,,,,,,,,
KWN/,kue,,,,,,,,,,,,,,,,
KWN=/,"mendedikasikan, dedikasi",,,,,,,,,,,,,,,,
KWN[,"mendedikasikan, dedikasi",,tetap berdiri,menetapkan,ditetapkan,berdiri tegak,mempersiapkan,disiapkan,,,,,,,,,
KWR/,tungku pembakaran,,,,,,,,,,,,,,,,
KWS/,cawan,,,,,,,,,,,,,,,,
KWS=/,cawan,,,,,,,,,,,,,,,,
KWT/,Kuta,,,,,,,,,,,,,,,,
KX/,"besar, sangat berkuasa, lebih berkuasa, dengan kuasa",,,,,,,,,,,,,,,,
KX=/,"besar, sangat berkuasa, lebih berkuasa, dengan kuasa",,,,,,,,,,,,,,,,
KXC/,"menipu, mendustakan, penipu, pendusta",,,,,,,,,,,,,,,,
KXC=/,menipu,,,,,,,,,,,,,,,,
KXC[,"menipu, mendustakan, penipu, pendusta",menjadi kurus,bersikap takut-takutan,menyangkal,,bertindak pura-pura,,,,,,,,,,,
KXD[,"hancur, binasa, penghancur, pembinasa",,tersembunyi,menyembunyikan,,,menghapuskan,,,,,,,,,,
KXL[,cat mata,,,,,,,,,,,,,,,,
KZB/,"menipu, mendustakan, penipu, pendusta",,,,,,,,,,,,,,,,
KZB>/,Kozeba,,,,,,,,,,,,,,,,
KZBJ/,Kozbi,,,,,,,,,,,,,,,,
KZB[,"menipu, mendustakan, penipu, pendusta",berbohong,terbukti pembohong,berbohong,,,membuat pembohong,,,,,,,,,,
KZJB/,Kezib,,,,,,,,,,,,,,,,
L</,kerongkongan,,,,,,,,,,,,,,,,
L<B[,mengolok,,,,,,,,,,,,,,,,
L<DH/,Laadah,,,,,,,,,,,,,,,,
L<DN/,Ladan,,,,,,,,,,,,,,,,
L<G/,ejekan,,,,,,,,,,,,,,,,
L<G=/,"mengejek, diejek, ejekan, pengejek",,,,,,,,,,,,,,,,
L<G[,,mengejek,berbicara tertahan,,,,menghina,,,,,,,,,,
L<NH/,apsintus,,,,,,,,,,,,,,,,
L<V[,memberi-makan,,,,,,,,,,,,,,,,
L<Z[,"lidah, lidah-lidah",,,,,,,,,,,,,,,,
L>,bukan,,,,,,,,,,,,,,,,
L>H/,Lea,,,,,,,,,,,,,,,,
L>H[,,menjadi lelah,dibuatkan lelah; lelah,,,,membuat lelah,,,,,,,,,,
L>L/,Lael,,,,,,,,,,,,,,,,
L>M/,"bangsa, bangsa-bangsa",,,,,,,,,,,,,,,,
L>MJM/,Leumim,,,,,,,,,,,,,,,,
L>_<MJ/,bukan umat saya,,,,,,,,,,,,,,,,
L>_DBR/,bukan,,,,,,,,,,,,,,,,
L>_RXMH/,tidak dikasihani,,,,,,,,,,,,,,,,
LB/,"pikiran, terpikir, penuh pemikiran, mengingat",,,,,,,,,,,,,,,,
LB>WT/,Lebaot,,,,,,,,,,,,,,,,
LBB/,hati,,,,,,,,,,,,,,,,
LBB[,,,dijadikan berakal,membuat jantung berdebar,,,,,,,,,,,,,
LBC[,mengenakan,mengenakan pakaian; berpakaian,,,berpakaian dengan,,mengenakan pakaian kepada,,,,,,,,,,
LBH/,nyala api,,,,,,,,,,,,,,,,
LBH=/,hati,,,,,,,,,,,,,,,,
LBJ>/,singa,,,,,,,,,,,,,,,,
LBJ>=/,singa,,,,,,,,,,,,,,,,
LBN/,Laban,,,,,,,,,,,,,,,,
LBN=/,Laban,,,,,,,,,,,,,,,,
LBN==/,Laban,,,,,,,,,,,,,,,,
LBN=[,memutih,,,,,,,,,,,,,,,,
LBNH/,bata,,,,,,,,,,,,,,,,
LBNH=/,kemenyan,,,,,,,,,,,,,,,,
LBNH==/,pohon poplar,,,,,,,,,,,,,,,,
LBNH===/,bulan,,,,,,,,,,,,,,,,
LBNH====/,batu bata,,,,,,,,,,,,,,,,
LBNH=====/,bulan,,,,,,,,,,,,,,,,
LBNJ/,Libni,,,,,,,,,,,,,,,,
LBNJ=/,Libni,,,,,,,,,,,,,,,,
LBNWN/,Libanon,,,,,,,,,,,,,,,,
LBN[,,,,,,menunjukkan diri putih,memutihkan; menyucikan,,,,,,,,,,
LBV[,binasa,,,,,,,,,,,,,,,,
LBWC/,"jubah, jubah-jubah, berjubah",,,,,,,,,,,,,,,,
LBWNH/,Lebona,,,,,,,,,,,,,,,,
LC</,Lasa,,,,,,,,,,,,,,,,
LCD/,kelembutan,,,,,,,,,,,,,,,,
LCKH/,ruang,,,,,,,,,,,,,,,,
LCM/,batu permata biru,,,,,,,,,,,,,,,,
LCM=/,batu permata biru,,,,,,,,,,,,,,,,
LCN/,lidah,,,,,,,,,,,,,,,,
LCWN/,"lidah, lidah-lidah",,,,,,,,,,,,,,,,
LD/,Lod,,,,,,,,,,,,,,,,
LDBR/,Debir,,,,,,,,,,,,,,,,
LG/,log,,,,,,,,,,,,,,,,
LHB/,nyala api,,,,,,,,,,,,,,,,
LHBH/,lidah api,,,,,,,,,,,,,,,,
LHBJM/,Lehabim,,,,,,,,,,,,,,,,
LHD/,Lahad,,,,,,,,,,,,,,,,
LHG/,merenungkan,,,,,,,,,,,,,,,,
LHH[,merosot,,,,,,,,,,,,,,,,
LHM[,menelan,,,,,,,,,,,,,,,,
LHN,jadi,,,,,,,,,,,,,,,,
LHN=,jadi,,,,,,,,,,,,,,,,
LHQH/,kelompok,,,,,,,,,,,,,,,,
LHV/,"sihir, tukang sihir",,,,,,,,,,,,,,,,
LHVJM/,mereka,,,,,,,,,,,,,,,,
LHV[,menyalakan,membakar; mengonsumsi,,memakan habis,,,,,,,,,,,,,
LJC/,Lais,,,,,,,,,,,,,,,,
LJC=/,Lais,,,,,,,,,,,,,,,,
LJC==/,Lais,,,,,,,,,,,,,,,,
LJH/,untaian,,,,,,,,,,,,,,,,
LJL/,malam,,,,,,,,,,,,,,,,
LJLH/,malam,,,,,,,,,,,,,,,,
LJLJT/,lilith,,,,,,,,,,,,,,,,
LJN[,"menipu, mendustakan, penipu, pendusta",menginap,,,,tinggal,,,,,,,,,,,
LJY[,"mengejek, diejek, ejekan, pengejek",memuji diri,,mengolok,,bertingkah melolok,mengolok,,,,,,,,,,
LKD/,"merebut, direbut, penyitaan",,,,,,,,,,,,,,,,
LKD[,"merebut, direbut, penyitaan",menangkap,tertangkap,,,saling genggam,,,,,,,,,,,
LKH/,Lekah,,,,,,,,,,,,,,,,
LKJC/,Lakhis,,,,,,,,,,,,,,,,
LL>T/,gelang,,,,,,,,,,,,,,,,
LM<N,supaya,,,,,,,,,,,,,,,,
LMD/,"memberi petunjuk, petunjuk, pemberi petunjuk",,,,,,,,,,,,,,,,
LMD[,"memberi petunjuk, petunjuk, pemberi petunjuk",belajar,,mengajar,diajar,,,,,,,,,,,,
LMK/,Lamekh,,,,,,,,,,,,,,,,
LMW,untuk-nya,,,,,,,,,,,,,,,,
LMW>L/,Lemuel,,,,,,,,,,,,,,,,
LPJD/,obor,,,,,,,,,,,,,,,,
LPJDWT/,Lapidot,,,,,,,,,,,,,,,,
LPT[,memutar,menggengam,membungkuk,,,,,,,,,,,,,,
LQC/,panen-kedua,,,,,,,,,,,,,,,,
LQQ[,menjilat,menjilat,,menjilat,,,,,,,,,,,,,
LQV/,glening,,,,,,,,,,,,,,,,
LQV[,"memungut, memetik",mengumpulkan,,mengumpulkan,dikumpulkan,berkumpul,,,,,,,,,,,
LQWM/,Lakkum,,,,,,,,,,,,,,,,
LQX/,"memberi petunjuk, petunjuk, pemberi petunjuk",,,,,,,,,,,,,,,,
LQXJ/,Likhi,,,,,,,,,,,,,,,,
LQX[,"menerima, diterima, penerima",mengambil,diambil,,dibawa,digoyangkan,,dibawa pergi,,mengambil,,,,,,,
LTK/,letek,,,,,,,,,,,,,,,,
LV/,"sihir, tukang sihir",,,,,,,,,,,,,,,,
LV=/,Mur,,,,,,,,,,,,,,,,
LV>H/,bunglon,,,,,,,,,,,,,,,,
LVC[,menajamkan,menimba,,,ditimba,,,,,,,,,,,,
LVWCJM/,Letusyim,,,,,,,,,,,,,,,,
LW,jika,,,,,,,,,,,,,,,,
LWBJ/,Libia,,,,,,,,,,,,,,,,
LWC[,menguleni,,,,,,,,,,,,,,,,
LWD/,Lud,,,,,,,,,,,,,,,,
LWDJM/,Ludim,,,,,,,,,,,,,,,,
LWH=[,bergabung,meminjam,,,,,meminjamkan kepada,,,,,,,,,,
LWH[,bergabung,menemani,bergabung,,,,,,,,,,,,,,
LWJ/,"Lewi, orang Lewi, orang-orang Lewi",,,,,,,,,,,,,,,,
LWJ=/,"Lewi, orang Lewi, orang-orang Lewi",,,,,,,,,,,,,,,,
LWJH/,mahkota,,,,,,,,,,,,,,,,
LWJTN/,Lewiatan,,,,,,,,,,,,,,,,
LWL/,tangga,,,,,,,,,,,,,,,,
LWL>,jika tidak,,,,,,,,,,,,,,,,
LWN[,"menipu, mendustakan, penipu, pendusta",,bersungut-sungut,,,,membuat bersungut,,,,,,,,,,
LWT,dengan,,,,,,,,,,,,,,,,
LWV=/,Lot,,,,,,,,,,,,,,,,
LWVN/,Lotan,,,,,,,,,,,,,,,,
LWV[,,membungkus,,,,,membungkus,,,,,,,,,,
LWX/,tablet,,,,,,,,,,,,,,,,
LWXC/,Halohesh,,,,,,,,,,,,,,,,
LWXJT/,Luhit,,,,,,,,,,,,,,,,
LWZ/,Luz,,,,,,,,,,,,,,,,
LWZ=/,Luz,,,,,,,,,,,,,,,,
LWZ[,,berpaling; menyimpang,bengkok; menyimpang,,,,menyebabkan pergi,,,,,,,,,,
LX/,kekuatan,,,,,,,,,,,,,,,,
LX=/,segar,,,,,,,,,,,,,,,,
LXC/,mantra,,,,,,,,,,,,,,,,
LXC[,,,,berbisik,,saling berbisik,,,,,,,,,,,
LXJ/,Lehi,,,,,,,,,,,,,,,,
LXJ=/,Lehi,,,,,,,,,,,,,,,,
LXJ_R>J/,Beer Lahai Roi,,,,,,,,,,,,,,,,
LXK[,menjilat,,,,,,,,,,,,,,,,
LXM/,Roti,,,,,,,,,,,,,,,,
LXM=/,peperangan,,,,,,,,,,,,,,,,
LXM=[,berperang,,,,,,,,,,,,,,,,
LXMJ/,Lahmi,,,,,,,,,,,,,,,,
LXMJ=/,Lahmi,,,,,,,,,,,,,,,,
LXMS/,Lahmam,,,,,,,,,,,,,,,,
LXM[,berperang,,,,,,,,,,,,,,,,
LXNH/,selir,,,,,,,,,,,,,,,,
LXWM/,usus,,,,,,,,,,,,,,,,
LXY/,"yang menderita, menimpa, menderita, penderitaan",,,,,,,,,,,,,,,,
LXY[,menekan,menekan,terjepit,,,,,,,,,,,,,,
LYWN/,"mengejek, diejek, ejekan, pengejek",,,,,,,,,,,,,,,,
LZ,itu,,,,,,,,,,,,,,,,
LZH,itu,,,,,,,,,,,,,,,,
LZWT/,"sesat, secara sesat",,,,,,,,,,,,,,,,
M<BH/,ketebalan,,,,,,,,,,,,,,,,
M<BR/,jembatan,,,,,,,,,,,,,,,,
M<BRH/,jembatan,,,,,,,,,,,,,,,,
M<DJ/,Maadai,,,,,,,,,,,,,,,,
M<DJH/,Maadiah,,,,,,,,,,,,,,,,
M<DN/,"memperbudak, dalam belenggu",,,,,,,,,,,,,,,,
M<DR/,cangkul,,,,,,,,,,,,,,,,
M<D[,"gemetar, gemetaran, bergetar, berguncang",goyah,,,,,menggoyahkan,,,goyah,,,,,,,
M<FH/,"kerja, pekerjaan, pekerja",,,,,,,,,,,,,,,,
M<FJ/,Maaseya,,,,,,,,,,,,,,,,
M<FJH/,Maaseya,,,,,,,,,,,,,,,,
M<FR/,"sepersepuluh, persepuluhan, berzakat, perpuluhan",,,,,,,,,,,,,,,,
M<GL/,jejak,,,,,,,,,,,,,,,,
M<GL=/,jejak,,,,,,,,,,,,,,,,
M<J/,tumpukan,,,,,,,,,,,,,,,,
M<J=/,Maai,,,,,,,,,,,,,,,,
M<JL/,"jubah, jubah-jubah, berjubah",,,,,,,,,,,,,,,,
M<JN/,"sumber air, mata air",,,,,,,,,,,,,,,,
M<KH/,Maakha,,,,,,,,,,,,,,,,
M<KH=/,Maakha,,,,,,,,,,,,,,,,
M<KTJ/,Maakha,,,,,,,,,,,,,,,,
M<K[,memar,meremas,,,diremas,,,,,,,,,,,,
M<L/,atas,,,,,,,,,,,,,,,,
M<L=/,atas,,,,,,,,,,,,,,,,
M<L==/,mengangkat,,,,,,,,,,,,,,,,
M<LH/,Bukit Zaitun,,,,,,,,,,,,,,,,
M<LH=/,nyanyian,,,,,,,,,,,,,,,,
M<LH_<QRBJM/,Akrabim,,,,,,,,,,,,,,,,
M<LL/,perbuatan,,,,,,,,,,,,,,,,
M<MD/,jabatan,,,,,,,,,,,,,,,,
M<MSH/,beban,,,,,,,,,,,,,,,,
M<NH/,"tempat perlindungan, pengungsi, tempat bernaung, tempat-tempat berlindung",,,,,,,,,,,,,,,,
M<NH=/,jawaban,,,,,,,,,,,,,,,,
M<NH==/,alur,,,,,,,,,,,,,,,,
M<NH===/,jawaban,,,,,,,,,,,,,,,,
M<QH/,dinding,,,,,,,,,,,,,,,,
M<R/,telanjang,,,,,,,,,,,,,,,,
M<RB/,barat,,,,,,,,,,,,,,,,
M<RB=/,barat,,,,,,,,,,,,,,,,
M<RH/,gua,,,,,,,,,,,,,,,,
M<RH=/,Maarah,,,,,,,,,,,,,,,,
M<RH==/,gua,,,,,,,,,,,,,,,,
M<RH===/,gua,,,,,,,,,,,,,,,,
M<RK/,rencana,,,,,,,,,,,,,,,,
M<RKH/,baris,,,,,,,,,,,,,,,,
M<RKT/,susunan,,,,,,,,,,,,,,,,
M<RT/,Maarah,,,,,,,,,,,,,,,,
M<RYH/,teror,,,,,,,,,,,,,,,,
M<V/,"benih, semen",,,,,,,,,,,,,,,,
M<VH/,jubah,,,,,,,,,,,,,,,,
M<VH=/,jubah,,,,,,,,,,,,,,,,
M<V[,"berlipat ganda, berkembang biak, pelipatgandaan",sedikit,,mengurangi,,,memperkecil,,,,,,,,,,
M<WG/,Roti,,,,,,,,,,,,,,,,
M<WK/,Maokh,,,,,,,,,,,,,,,,
M<WN/,tempat tinggal,,,,,,,,,,,,,,,,
M<WN=/,Maon,,,,,,,,,,,,,,,,
M<WNJ/,Meuni,,,,,,,,,,,,,,,,
M<WNTJ/,Meonotai,,,,,,,,,,,,,,,,
M<WP/,kegelapan,,,,,,,,,,,,,,,,
M<WR/,ketelanjanagan,,,,,,,,,,,,,,,,
M<WZ/,"tempat perlindungan, pengungsi, tempat bernaung, tempat-tempat berlindung",,,,,,,,,,,,,,,,
M<Y/,Maaz,,,,,,,,,,,,,,,,
M<YBH/,penderitaan,,,,,,,,,,,,,,,,
M<YD/,kapak,,,,,,,,,,,,,,,,
M<YWR/,penahan,,,,,,,,,,,,,,,,
M<ZJH/,Maaziah,,,,,,,,,,,,,,,,
M>BWS/,lumbung,,,,,,,,,,,,,,,,
M>D/,sangat,,,,,,,,,,,,,,,,
M>H/,seratus,,,,,,,,,,,,,,,,
M>H=/,seratus,,,,,,,,,,,,,,,,
M>KL/,makanan,,,,,,,,,,,,,,,,
M>KLT/,pisau,,,,,,,,,,,,,,,,
M>KLT=/,bahan bakar,,,,,,,,,,,,,,,,
M>MY/,kekuatan,,,,,,,,,,,,,,,,
M>N/,bejana,,,,,,,,,,,,,,,,
M>N[,menolak,,,,,,,,,,,,,,,,
M>PH/,panggang,,,,,,,,,,,,,,,,
M>PL/,kegelapan,,,,,,,,,,,,,,,,
M>PLJH/,kegelapan,,,,,,,,,,,,,,,,
M>RB/,penyergapan,,,,,,,,,,,,,,,,
M>RH/,"kutukan, terkutuk",,,,,,,,,,,,,,,,
M>R[,jahat,,,,,,,,,,,,,,,,
M>S=[,"menolak, ditolak, penolakan",,,,,,,,,,,,,,,,
M>S[,"menolak, ditolak, penolakan",menolak,ditolak,,,,,,,,,,,,,,
M>WM/,cela,,,,,,,,,,,,,,,,
M>WMH/,apapun,,,,,,,,,,,,,,,,
M>WR/,cahaya,,,,,,,,,,,,,,,,
M>WRH/,lubang,,,,,,,,,,,,,,,,
M>ZNJM/,timbangan,,,,,,,,,,,,,,,,
MBDLH/,tempat terpisah,,,,,,,,,,,,,,,,
MBFM/,Mibsam,,,,,,,,,,,,,,,,
MBLJGJT/,penghibur,,,,,,,,,,,,,,,,
MBNH/,bangunan,,,,,,,,,,,,,,,,
MBNJ/,Mebunai,,,,,,,,,,,,,,,,
MBRX/,pelarian,,,,,,,,,,,,,,,,
MBV/,harapan,,,,,,,,,,,,,,,,
MBV>/,janji,,,,,,,,,,,,,,,,
MBVX/,"kepercayaan, dapat dipercaya, sifat dapat dipercaya",,,,,,,,,,,,,,,,
MBW</,mata air,,,,,,,,,,,,,,,,
MBW>/,pintu masuk,,,,,,,,,,,,,,,,
MBWKH/,kebingungan,,,,,,,,,,,,,,,,
MBWL/,air bah,,,,,,,,,,,,,,,,
MBWQH/,"terpencil, perusakan",,,,,,,,,,,,,,,,
MBWSH/,penindasan,,,,,,,,,,,,,,,,
MBXR/,"korban, dikorbankan, mengorbankan, persembahan",,,,,,,,,,,,,,,,
MBXR=/,"korban, dikorbankan, mengorbankan, persembahan",,,,,,,,,,,,,,,,
MBXWR/,pilihan,,,,,,,,,,,,,,,,
MBYR/,Mibzar,,,,,,,,,,,,,,,,
MBYR=/,Mibzar,,,,,,,,,,,,,,,,
MC/,Mesekh,,,,,,,,,,,,,,,,
MC<J/,pencucian,,,,,,,,,,,,,,,,
MC<M/,Misam,,,,,,,,,,,,,,,,
MC<N/,penopang,,,,,,,,,,,,,,,,
MC<N=/,penopang,,,,,,,,,,,,,,,,
MC<NH/,tongkat,,,,,,,,,,,,,,,,
MC<NT/,tongkat,,,,,,,,,,,,,,,,
MC<WL/,jalan,,,,,,,,,,,,,,,,
MC>/,riba,,,,,,,,,,,,,,,,
MC>=/,Mesha,,,,,,,,,,,,,,,,
MC>B/,sumur,,,,,,,,,,,,,,,,
MC>H/,pinjaman,,,,,,,,,,,,,,,,
MC>L/,Misyal,,,,,,,,,,,,,,,,
MC>LH/,permohonan,,,,,,,,,,,,,,,,
MC>RT/,Roti,,,,,,,,,,,,,,,,
MC>WN/,"menipu, mendustakan, penipu, pendusta",,,,,,,,,,,,,,,,
MCBR/,ombak,,,,,,,,,,,,,,,,
MCBT/,kehancuran,,,,,,,,,,,,,,,,
MCBYWT/,anyaman emas,,,,,,,,,,,,,,,,
MCC[,meraba,meraba,,meraba-raba,,,membuat meraba,,,,,,,,,,
MCGH/,kesalahan,,,,,,,,,,,,,,,,
MCH/,pinjaman,,,,,,,,,,,,,,,,
MCH=/,Musa,,,,,,,,,,,,,,,,
MCH[,,menarik keluar,,,,,menyebabkan ditarik,,,,,,,,,,
MCJ/,sutra,,,,,,,,,,,,,,,,
MCJX/,"mengurapi, diurapi",,,,,,,,,,,,,,,,
MCJZB>L/,Mesyezabel,,,,,,,,,,,,,,,,
MCK/,Mesekh,,,,,,,,,,,,,,,,
MCK=/,Mesekh,,,,,,,,,,,,,,,,
MCKB/,kasur,,,,,,,,,,,,,,,,
MCKN/,kemah suci(Tabernakel),,,,,,,,,,,,,,,,
MCK[,"sabar, kesabaran, tidak sabar",menyeret,memanjang,,dipanjangkan,,,,,,,,,,,,
MCL/,"pepatah, amsal",,,,,,,,,,,,,,,,
MCL=/,kekuasaan,,,,,,,,,,,,,,,,
MCL==/,kekuasaan,,,,,,,,,,,,,,,,
MCL===/,"pepatah, amsal",,,,,,,,,,,,,,,,
MCL=[,menyerupai,melantunkan nyanyian mengejek,menyerupai,membuat perumpamaan,,menyamakan diri,membandingkan,,,,,,,,,,
MCLM/,Mesulam,,,,,,,,,,,,,,,,
MCLMJH/,Meselemya,,,,,,,,,,,,,,,,
MCLMJT/,Mesyilemit,,,,,,,,,,,,,,,,
MCLMT/,Mesyulemet,,,,,,,,,,,,,,,,
MCLMWT/,Mesyillemot,,,,,,,,,,,,,,,,
MCLWX/,uluran,,,,,,,,,,,,,,,,
MCLX/,uluran,,,,,,,,,,,,,,,,
MCLXT/,pasukan,,,,,,,,,,,,,,,,
MCL[,"aturan, peraturan-peraturan, menguasai, penguasa",memerintah,,,,,membuat memerintah,,,,,,,,,,
MCM</,Misma,,,,,,,,,,,,,,,,
MCM<=/,Misma,,,,,,,,,,,,,,,,
MCM<T/,pengawasan,,,,,,,,,,,,,,,,
MCMH/,kehancuran,,,,,,,,,,,,,,,,
MCMN/,lemak,,,,,,,,,,,,,,,,
MCMNH/,Mishmana,,,,,,,,,,,,,,,,
MCMR/,jam (waktu dalam Alkitab),,,,,,,,,,,,,,,,
MCMRT/,jam (waktu dalam Alkitab),,,,,,,,,,,,,,,,
MCNH/,kedua,,,,,,,,,,,,,,,,
MCPTJM/,"domba betina, domba jantan, domba, bulu domba",,,,,,,,,,,,,,,,
MCPV/,"Menghakimi, penghakiman",,,,,,,,,,,,,,,,
MCPXH/,keluarga,,,,,,,,,,,,,,,,
MCPXT/,keluarga,,,,,,,,,,,,,,,,
MCQ/,hamba,,,,,,,,,,,,,,,,
MCQ</,jernih,,,,,,,,,,,,,,,,
MCQ=/,gempuran,,,,,,,,,,,,,,,,
MCQD/,berbentuk badam,,,,,,,,,,,,,,,,
MCQH/,juru minuman,,,,,,,,,,,,,,,,
MCQL/,berat,,,,,,,,,,,,,,,,
MCQLT/,benang,,,,,,,,,,,,,,,,
MCQWL/,timbangan,,,,,,,,,,,,,,,,
MCQWP/,ambang,,,,,,,,,,,,,,,,
MCR<J/,Misrawi,,,,,,,,,,,,,,,,
MCRH/,perasan,,,,,,,,,,,,,,,,
MCRWQJ/,seruling,,,,,,,,,,,,,,,,
MCSH/,rampasan,,,,,,,,,,,,,,,,
MCTH/,pesta,,,,,,,,,,,,,,,,
MCVR/,"aturan, peraturan-peraturan, menguasai, penguasa",,,,,,,,,,,,,,,,
MCVWX/,tempat jemuran,,,,,,,,,,,,,,,,
MCWBB/,Meshobab,,,,,,,,,,,,,,,,
MCWBH/,pendurhakaan,,,,,,,,,,,,,,,,
MCWGH/,kesesatan,,,,,,,,,,,,,,,,
MCWV/,dayung,,,,,,,,,,,,,,,,
MCX/,minyak,,,,,,,,,,,,,,,,
MCXH/,"mengurapi, diurapi",,,,,,,,,,,,,,,,
MCXH=/,"mengurapi, diurapi",,,,,,,,,,,,,,,,
MCXH==/,"mengurapi, diurapi",,,,,,,,,,,,,,,,
MCXH===/,"mengurapi, diurapi",,,,,,,,,,,,,,,,
MCXJT/,"hancur, binasa, penghancur, pembinasa",,,,,,,,,,,,,,,,
MCXR/,fajar,,,,,,,,,,,,,,,,
MCXT/,pemusnah,,,,,,,,,,,,,,,,
MCXT=/,cacat,,,,,,,,,,,,,,,,
MCX[,"mengurapi, diurapi",mengoles,diolesi,,,,,,,,,,,,,,
MD/,pakaian,,,,,,,,,,,,,,,,
MD</,pengetahuan,,,,,,,,,,,,,,,,
MD<=/,pengetahuan,,,,,,,,,,,,,,,,
MDBR/,"gurun, padang gurun",,,,,,,,,,,,,,,,
MDBR=/,"gurun, padang gurun",,,,,,,,,,,,,,,,
MDBX/,mezbah,,,,,,,,,,,,,,,,
MDCH/,diinjak,,,,,,,,,,,,,,,,
MDD[,mengukur,mengukur,diukur,mengukur,,mengukur diri,,,,,,,,,,,
MDH/,"cukai, pajak, kena pajak, perpajakan",,,,,,,,,,,,,,,,
MDH=/,"cukai, pajak, kena pajak, perpajakan",,,,,,,,,,,,,,,,
MDHBH/,kesombongan,,,,,,,,,,,,,,,,
MDJ/,"Orang Media, Media",,,,,,,,,,,,,,,,
MDJ=/,"Orang Media, Media",,,,,,,,,,,,,,,,
MDJN/,"Midian, Orang Midian",,,,,,,,,,,,,,,,
MDJN=/,"Midian, Orang Midian",,,,,,,,,,,,,,,,
MDJN==/,Middin,,,,,,,,,,,,,,,,
MDJNH/,"provinsi, wilayah provinsi",,,,,,,,,,,,,,,,
MDJNJ/,"Midian, Orang Midian",,,,,,,,,,,,,,,,
MDKH/,lesung,,,,,,,,,,,,,,,,
MDMN/,Madmen,,,,,,,,,,,,,,,,
MDMNH/,Madmena,,,,,,,,,,,,,,,,
MDMNH=/,Madmena,,,,,,,,,,,,,,,,
MDMNH==/,Madmana,,,,,,,,,,,,,,,,
MDMNH===/,Madmana,,,,,,,,,,,,,,,,
MDN/,Medan,,,,,,,,,,,,,,,,
MDNJ/,"Midian, Orang Midian",,,,,,,,,,,,,,,,
MDQRH/,luka tebasan,,,,,,,,,,,,,,,,
MDRC/,tafsir,,,,,,,,,,,,,,,,
MDRGH/,batu loncatan,,,,,,,,,,,,,,,,
MDRK/,tapakan,,,,,,,,,,,,,,,,
MDW/,pakaian,,,,,,,,,,,,,,,,
MDW<,mengapa,,,,,,,,,,,,,,,,
MDWH/,penyakit,,,,,,,,,,,,,,,,
MDWN=/,Madon,,,,,,,,,,,,,,,,
MDWR/,tempat tinggal,,,,,,,,,,,,,,,,
MDWRH/,tumpukan,,,,,,,,,,,,,,,,
MDXH/,"masalah, kesulitan, bermasalah, pembuat masalah",,,,,,,,,,,,,,,,
MDXPH/,dorongan,,,,,,,,,,,,,,,,
MF>/,Massa,,,,,,,,,,,,,,,,
MF>=/,Massa,,,,,,,,,,,,,,,,
MF>==/,belas kasihan,,,,,,,,,,,,,,,,
MF>===/,Massa,,,,,,,,,,,,,,,,
MF>H/,asap,,,,,,,,,,,,,,,,
MF>T/,hadiah,,,,,,,,,,,,,,,,
MFGB/,"kubu, benteng, dibentengi, pertahanan",,,,,,,,,,,,,,,,
MFKJL/,maskil,,,,,,,,,,,,,,,,
MFKJT/,gambaran,,,,,,,,,,,,,,,,
MFKRT/,upah,,,,,,,,,,,,,,,,
MFMRH/,paku,,,,,,,,,,,,,,,,
MFPX/,pertumpahan darah,,,,,,,,,,,,,,,,
MFRH/,pemerintahan,,,,,,,,,,,,,,,,
MFRPWT_MJM/,Misrefot-mayim,,,,,,,,,,,,,,,,
MFRQH/,Masrekah,,,,,,,,,,,,,,,,
MFRT/,penggorengan,,,,,,,,,,,,,,,,
MFVMH/,permusuhan,,,,,,,,,,,,,,,,
MFWF/,"sukacita, bersukacita",,,,,,,,,,,,,,,,
MFWKH/,pagar,,,,,,,,,,,,,,,,
MFWR/,gergaji,,,,,,,,,,,,,,,,
MFWRH/,takaran,,,,,,,,,,,,,,,,
MFXQ/,ejekan,,,,,,,,,,,,,,,,
MG<RT/,"menegur, teguran, ditegur",,,,,,,,,,,,,,,,
MGB<H/,penutup kepala,,,,,,,,,,,,,,,,
MGBJC/,Magbish,,,,,,,,,,,,,,,,
MGBLT/,berpilin,,,,,,,,,,,,,,,,
MGD/,"buah, buah-buahan, berbuah, tidak berbuah",,,,,,,,,,,,,,,,
MGDJ>L/,Magdiel,,,,,,,,,,,,,,,,
MGDL/,"menara pengawas, menara",,,,,,,,,,,,,,,,
